id	is_hate	location
0	1.0	Brisbane, Australia
1	1.0	Brisbane, Australia
2	1.0	Brisbane, Australia
3	1.0	New Caledonia
4	1.0	Darwin, Australia
5	1.0	Sydney, Australia
6	1.0	Gold Coast, Australia
7	1.0	Brisbane, Australia
8	1.0	Melbourne, Australia
9	1.0	Brisbane, Australia
10	1.0	Melbourne, Australia
11	1.0	Darwin, Australia
12	1.0	Melbourne, Australia
13	1.0	Brisbane, Australia
14	1.0	Hawaii, United States
15	1.0	Adelaide, Australia
16	1.0	Brisbane, Australia
17	1.0	Adelaide, Australia
18	1.0	Cairns, Australia
19	1.0	Hawaii, United States
20	1.0	Hawaii, United States
21	1.0	Brisbane, Australia
22	1.0	Gold Coast, Australia
23	1.0	Amsterdam, Netherlands
24	1.0	Melbourne, Australia
25	1.0	Gold Coast, Australia
26	1.0	Adelaide, Australia
27	1.0	Brisbane, Australia
28	1.0	Brisbane, Australia
29	1.0	Brisbane, Australia
30	1.0	Hawaii, United States
31	1.0	Adelaide, Australia
32	1.0	Sydney, Australia
33	1.0	Brisbane, Australia
34	1.0	Brisbane, Australia
35	1.0	Sydney, Australia
36	1.0	Sydney, Australia
37	1.0	Hawaii, United States
38	1.0	Yakutsk, Russia
39	1.0	Brisbane, Australia
40	1.0	Townsville, Australia
41	1.0	Melbourne, Australia
42	1.0	Brisbane, Australia
43	1.0	Hawaii, United States
44	1.0	Melbourne, Australia
45	1.0	Sydney, Australia
46	1.0	Darwin, Australia
47	1.0	Adelaide, Australia
48	1.0	Yakutsk, Russia
49	1.0	Adelaide, Australia
50	1.0	Brisbane, Australia
51	1.0	Sydney, Australia
52	1.0	Melbourne, Australia
53	1.0	Hawaii, United States
54	1.0	Adelaide, Australia
55	1.0	Sydney, Australia
56	1.0	Sydney, Australia
57	1.0	Melbourne, Australia
58	1.0	Brisbane, Australia
59	1.0	Melbourne, Australia
60	1.0	Melbourne, Australia
61	1.0	Brisbane, Australia
62	1.0	Gracemere, Australia
63	1.0	Brisbane, Australia
64	1.0	Melbourne, Australia
65	1.0	Melbourne, Australia
66	1.0	Hawaii, United States
67	1.0	Hawaii, United States
68	1.0	Hawaii, United States
69	1.0	Sydney, Australia
70	1.0	Adelaide, Australia
71	1.0	Sydney, Australia
72	1.0	Hawaii, United States
73	1.0	Hawaii, United States
74	1.0	Adelaide, Australia
75	1.0	New Caledonia
76	1.0	Hawaii, United States
77	1.0	Melbourne, Australia
78	1.0	Hawaii, United States
79	1.0	Brisbane, Australia
80	1.0	Sydney, Australia
81	1.0	Hawaii, United States
82	1.0	Sydney, Australia
83	1.0	Hawaii, United States
84	1.0	Sydney, Australia
85	1.0	Cairns, Australia
86	1.0	Melbourne, Australia
87	1.0	Sydney, Australia
88	1.0	Melbourne, Australia
89	1.0	London, United Kingdom
90	1.0	Melbourne, Australia
91	1.0	Sydney, Australia
92	1.0	Sydney, Australia
93	1.0	Melbourne, Australia
94	1.0	Melbourne, Australia
95	1.0	Sydney, Australia
96	1.0	Sydney, Australia
97	1.0	Adelaide, Australia
98	1.0	Pacific Time (US & Canada)
99	1.0	Melbourne, Australia
100	1.0	Sydney, Australia
101	1.0	Brisbane, Australia
102	1.0	Sydney, Australia
103	1.0	Yakutsk, Russia
104	1.0	Sydney, Australia
105	1.0	London, United Kingdom
